model,term,coef,std_err,t,p_value,ci_low,ci_high,pct_effect_exact
M1_simple,const,5.570882501822052,0.03882946475674915,143.47049429399482,0.0,5.494747514230874,5.647017489413229,26166.580003417577
M1_simple,educ,0.05209422598001493,0.00286970808334924,18.153144663834826,5.7717389679602936e-70,0.04646743738828909,0.057721014571740774,5.347500255139082
M2_extended,const,4.806924209727889,0.09053200430041547,53.09640769442049,0.0,4.629412981048839,4.984435438406939,12135.47007576277
M2_extended,educ,0.05474772206139881,0.004217988461071731,12.979580804137191,1.6124519140394628e-37,0.04647727317357426,0.06301817094922335,5.6274106405667546
M2_extended,exper,0.06294810619469408,0.006921575564299774,9.094476482980111,1.6881249766521442e-19,0.04937658093897738,0.07651963145041078,6.497157236988116
M2_extended,expersq,-0.0017824944939126648,0.000317942410501944,-5.60634390076679,2.2544510963969218e-08,-0.00240590218684408,-0.0011590868009812496,-0.1780906794097703
M2_extended,IQ,0.0008619639113416638,0.0005854207466519433,1.4723836083215152,0.14102242491671477,-0.0002859037055903123,0.00200983152827364,0.0862335508994061
M2_extended,KWW,0.0066795570280936386,0.0010946019144933625,6.1022705511942,1.180163813782192e-09,0.00453330905470965,0.008825805001477626,0.6701915021916083
M2_extended,black,-0.11993007964192233,0.018895136973551746,-6.3471399974391876,2.5255223754381194e-10,-0.15697884495042136,-0.0828813143334233,-11.301754732025692
M2_extended,south,-0.12265643826167888,0.01484166520516924,-8.264331297471834,2.0850319168067948e-16,-0.15175733188014268,-0.0935555446432151,-11.543248608527456
M2_extended,smsa,0.16054368337822922,0.015366962806235996,10.4473268662484,4.0521196710337975e-25,0.13041280899983335,0.1906745577566251,17.414906281796338
M2_extended,fatheduc,-0.002122895079666565,0.0025184251282340236,-0.8429454804380812,0.399326270418419,-0.007060913875379498,0.0028151237160463677,-0.21206433315971163
M2_extended,motheduc,0.005214814583388435,0.0026634849143549956,1.957891540996876,0.050335492009018455,-7.63115134164074e-06,0.010437260318118511,0.5228435395334907
M2_extended,married_2,-0.02681548196350022,0.09860017847726305,-0.2719617994371461,0.7856701441430994,-0.22014643674268503,0.16651547281568457,-2.645913919958365
M2_extended,married_3,-0.39270016379046124,0.21122635958723968,-1.859143738299718,0.06310480694920145,-0.8068636511613211,0.021463323580398597,-32.476882400669425
M2_extended,married_4,-0.06105874160803002,0.030427035880661393,-2.006726578543831,0.04486853777238276,-0.12071875428503819,-0.0013987289310218587,-5.923202407080719
M2_extended,married_5,-0.08871486943955163,0.037457941342396675,-2.368386148844222,0.01792903978525627,-0.16216077669476198,-0.01526896218434129,-8.489353880268148
M2_extended,married_6,-0.1795669750691786,0.017914060480835915,-10.023800872017574,2.777929180330025e-23,-0.21469208812899632,-0.14444186200936088,-16.436801744090435
M3_full,const,4.651731996901948,0.10219887912725513,45.51646785782987,0.0,4.451344293484028,4.852119700319869,10376.62834064418
M3_full,educ,0.052807109673750956,0.0043751818391520045,12.069694841297386,8.806261733099382e-33,0.04422841831949668,0.061385801028005234,5.42262754557532
M3_full,exper,0.06300011739001721,0.006980631350527572,9.024988461144833,3.150369650072179e-19,0.049312759009133525,0.07668747577090089,6.502696425483179
M3_full,expersq,-0.0018086132956918676,0.0003204865905698354,-5.643335318573221,1.824839651772453e-08,-0.002437011301706803,-0.001180215289676932,-0.18069787402399395
M3_full,IQ,0.0010433206807669848,0.0006012018862318916,1.7353915625683218,0.08277509315342207,-0.00013549327787262268,0.0022221346394065925,0.10438651291166945
M3_full,KWW,0.006572611358285232,0.0011109058875631616,5.9164429965374,3.665043843686164e-09,0.004394389038987209,0.008750833677583256,0.6594258368125772
M3_full,fatheduc,-0.0019314360192153874,0.0025747034171639768,-0.7501586420943406,0.45321852488716646,-0.00697981726521054,0.003116945226779765,-0.1929571996940327
M3_full,motheduc,0.004350035287366919,0.0028368163961704934,1.5334215119593804,0.12527843337207623,-0.0012122871911318077,0.009912357765865645,0.43595104249465333
M3_full,black,-0.12531218325074642,0.02051592182286738,-6.108045465013978,1.1397297689647026e-09,-0.16553902813098145,-0.08508533837051138,-11.777855516834157
M3_full,south,-0.14594051141818062,0.025480988242396824,-5.727427446293307,1.121542698437638e-08,-0.19590267106530337,-0.09597835177105787,-13.579088777001601
M3_full,smsa,0.13943657518971694,0.019722560880458425,7.069902130603839,1.9242910461240823e-12,0.10076532249002677,0.1781078278894071,14.96258886018287
M3_full,nearc2,0.03042231167051467,0.014563862096795319,2.08889039653904,0.03680243731914385,0.0018660407662303355,0.058978582574799,3.088979883139009
M3_full,nearc4,0.016628932284671723,0.01656395301711482,1.0039229323754881,0.31549746323840927,-0.015849041377729967,0.04910690594707341,1.6767962551673232
M3_full,momdad14,0.054086128095540906,0.034209603837478376,1.5810217608041044,0.1139794363463857,-0.012990771439661195,0.121163027630743,5.557551294866703
M3_full,sinmom14,0.026702586955285178,0.04005884079504686,0.666584115399237,0.5050895425846577,-0.051843275553717115,0.10524844946428746,2.7062295610385867
M3_full,step14,-0.0007143701798217419,0.04628002169800512,-0.015435822059101035,0.9876855206905844,-0.09145848930706871,0.09002974894742521,-0.07141150781940775
M3_full,south66,0.10463345170441399,0.030400809673064397,3.441798189905478,0.0005858371353743631,0.04502469195622593,0.16424221145260204,11.030355588170938
M3_full,smsa66,0.004250064460246406,0.020211597113785243,0.21027850675628526,0.8334647189432711,-0.035380072020962425,0.04388020094145524,0.42591087926637794
M3_full,libcrd14,0.01626901905858506,0.016861015163980333,0.9648896522755085,0.33467856241366056,-0.01679142284506471,0.049329460962234825,1.640208016099498
M3_full,reg662,0.09316046173135299,0.03531884972760604,2.637698069157009,0.008390575148026581,0.02390859473714703,0.16241232872555894,9.763785000767689
M3_full,reg663,0.14506246471608245,0.034526077172026846,4.201533350959795,2.7291512505351993e-05,0.07736503621574156,0.21275989321642333,15.61117842069466
M3_full,reg664,0.05366017414088865,0.04087987692369316,1.3126305209052205,0.1894087993292314,-0.026495545008886665,0.13381589329066396,5.512598213100395
M3_full,reg665,0.03791393751417452,0.016237787689237528,2.3349201405868873,0.019613817768303798,0.0060754965114852635,0.06975237851686378,3.8641840933193228
M3_full,reg666,0.041110934274342835,0.020433053266998107,2.0119819459748607,0.0443118895441487,0.0010465749295462748,0.08117529361913939,4.196768906374904
M3_full,reg667,0.025608579915898835,0.01956021546939697,1.3092176799363413,0.19056180054075136,-0.01274435203153989,0.06396151186333757,2.5939296625502317
M3_full,reg668,-0.046488010546059895,0.05042662217490531,-0.9218942007421339,0.3566585686790314,-0.14536262732311997,0.05238660623100017,-4.5423994653589705
M3_full,reg669,0.13347153302738946,0.038557580229650265,3.4616159061960956,0.0005445150219417304,0.05786928555116186,0.20907378050361705,14.27887339364764
M3_full,married_2,-0.04125941222025076,0.09855747668119394,-0.41863300086013255,0.6755146070410861,-0.23450719121220906,0.15198836677170754,-4.041982916494802
M3_full,married_3,-0.3784613741378656,0.21054569635505826,-1.797526051065129,0.07235358453582595,-0.7912914258704499,0.03436867759471862,-31.508557404565806
M3_full,married_4,-0.06052322899877809,0.030458247818773123,-1.987088336758303,0.047004237360526085,-0.12024461129435068,-0.0008018467032055027,-5.872809603945206
M3_full,married_5,-0.08891943245438057,0.037385387466731666,-2.3784542164637927,0.017448217866169638,-0.16222328862015278,-0.015615576288608365,-8.508071659379402
M3_full,married_6,-0.17938847040960265,0.017939894374570498,-9.999416198563734,3.546617076617371e-23,-0.21456433793358926,-0.14421260288561605,-16.4218839924282
M3_full,IQ_missing,-0.017267603402628433,0.016867754832256637,-1.0237049076387543,0.3060579647102586,-0.05034126019336131,0.01580605338810445,-1.7119372761274287
M3_full,KWW_missing,-0.011139908507529061,0.05418065113277608,-0.20560676689228782,0.837112168114653,-0.11737528352241088,0.09509546650735275,-1.1078089492416399
M3_full,fatheduc_missing,0.010619612153840344,0.02396583655511506,0.44311460313175616,0.6577150835485435,-0.036371695273209395,0.05761091958089008,1.0676200372570221
M3_full,motheduc_missing,0.04012307143256995,0.029341678256641045,1.367442962247352,0.17158987064558906,-0.01740898342445612,0.09765512628959602,4.093887614808622
M3_full,married_missing,0.04779944342515319,0.1385488694954045,0.3450006023090549,0.7301183229263982,-0.2238619486216511,0.31946083547195747,4.896025835036233
M3_full,libcrd14_missing,-0.04923697787142575,0.10205416548851322,-0.4824592669563072,0.6295152466406623,-0.24934093225052673,0.15086697650767522,-4.804448942439721
